problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP13,3,TAFR-meaningful-gain,True,0.0,0.19867985355975662,0.0,0.19867985355975662,101.0,101.0,0.0,0.0,0.0
PMOP13,3,equal,True,0.0,0.19867985355975662,0.0,0.19867985355975662,101.0,101.0,,0.3973597071195132,
PMOP13,3,CHIM-posthoc,False,,0.918117489649912,0.7719736069925506,0.918117489649912,101.0,101.0,,,
PMOP13,3,TPE-2024-grid,True,0.0,0.19867985355975662,0.0,0.19867985355975662,101.0,101.0,,0.0,
PMOP14,3,TAFR-meaningful-gain,True,0.0,0.2144409712401767,0.0,0.2144409712401767,101.0,101.0,0.06251235023723138,0.06251235023723138,0.0
PMOP14,3,equal,True,0.0,0.2144409712401767,0.0,0.2144409712401767,101.0,101.0,,0.4641720324719798,
PMOP14,3,CHIM-posthoc,False,,0.9171021435772078,0.759874371770155,0.9171021435772078,101.0,101.0,,,
PMOP14,3,TPE-2024-grid,True,0.759874371770155,0.9171021435772078,0.759874371770155,0.9171021435772078,101.0,101.0,,0.0,
PMOP1,5,TAFR-meaningful-gain,True,0.33510148753239266,0.5194334096256136,0.11638908400519488,0.5130904018334499,16.0,16.0,0.19375210296787318,0.19375210296787318,0.0
PMOP1,5,equal,True,0.0,0.21460476024262876,0.0,0.2663553915810135,16.0,16.0,,0.37225992796856056,
PMOP1,5,CHIM-posthoc,False,,1.0087827711804218,0.572367239488114,1.0181224474956563,16.0,16.0,,,
PMOP1,5,TPE-2024-grid,True,0.8596226125704987,1.0522345536641946,0.666131644068247,1.0720829437930648,16.0,16.0,,0.0,
PMOP2,5,TAFR-meaningful-gain,False,,,,,0.0,16.0,,,
PMOP2,5,equal,True,0.5484767743719902,0.8749090734789438,0.3146246095212928,0.7919608710368782,0.0,16.0,,1.390996281870937,
PMOP2,5,CHIM-posthoc,False,,1.181621615572897,0.45149036844842205,1.2289348543684133,0.0,16.0,,,
PMOP2,5,TPE-2024-grid,True,0.3791711076364597,1.0803214134716608,0.23081911679275113,1.1951554221286282,0.0,16.0,,0.0,
PMOP3,5,TAFR-meaningful-gain,True,0.0475634474620311,0.34482639416256067,0.022787021560289056,0.3333603391295252,16.0,16.0,0.1577260404172469,0.1577260404172469,0.0
PMOP3,5,equal,True,0.0475634474620311,0.34482639416256067,0.022787021560289056,0.3333603391295252,16.0,16.0,,0.1577260404172469,
PMOP3,5,CHIM-posthoc,False,,1.0485424476956267,0.5888550395282756,1.0375626726313023,16.0,16.0,,,
PMOP3,5,TPE-2024-grid,True,0.0475634474620311,0.34482639416256067,0.022787021560289056,0.3333603391295252,16.0,16.0,,0.1577260404172469,
